letter_id,from_id,from_name,to_id,to_name,date
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1652-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028188,Lords Treasury,1680-01-14
SP_29/413_f.7,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-16
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1659-cm,E019549-S039016-T000000,"Spencer, Robert",S036810,Recorder of London,1680-01-16
SP_63/339_f.126,S005973,Captain Richard Mildmay,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-17
SP_63/339_f.128,S006044,Captain Robert Thelwall,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-18
SP_29/413_f.9a,S016189,Francis Royley,S015044,"Elizabeth, Lady Lundoris",1680-01-19
SP_29/413_f.11,S000355,Adam Loftus,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-20
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1669-cm,S034180,Newsletter,S007398,Christopher Bowman,1680-01-22
SP_29/413_f.15,E009630-S016026-T000000,"Gwyn, Francis",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-27
SP_29/413_f.17,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-28
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1684-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-01-29
SP_29/413_f.19,S013826,Edmund Harrison,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-31
SP_63/339_f.130,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-31
SP_63/339_f.133,S005973,Captain Richard Mildmay,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-31
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1688-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S050767,Warden and Electors of New College,1680-01-31
SP_29/413_f.21,E002622-S014197-T000000,"Edward Conway, Earl of Conway",E019822-S014614-T000000,"Strode, Edward",1680-02-03
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1698-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S030911,Mayor and Corporation of Carlisle,1680-02-03
SP_29/413_f.23,S042266,Sir James Grahame,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-05
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1713-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-02-06
SP_29/413_f.25a,S024872,"John, Viscount Massereene",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-07
SP_29/413_f.27,S007421,Christopher Cratford,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-07
SP_29/413_f.29,S007421,Christopher Cratford,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-07
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1721-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-02-09
SP_29/413_f.33,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-10
SP_29/417_f.555,S014985,Elizabeth Simpson,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-02-10
SP_29/413_f.31a,E009630-S016026-T000000,"Gwyn, Francis",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-10
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1725-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028188,Lords Treasury,1680-02-10
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1727-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E003555-S038426-T000000,"Robert Bruce, Earl of Elgin and Ailesbury",1680-02-11
SP_29/413_f.35,S052569,"William Temple, at Ragley",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-14
SP_29/413_f.39a,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-17
SP_29/413_f.37a,E009630-S016026-T000000,"Gwyn, Francis",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-17
SP_63/339_f.137,S051554,William English,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-18
SP_29/413_f.41a,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S027720,Lord Mayor,1680-02-18
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1746-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028188,Lords Treasury,1680-02-18
SP_29/413_f.43,E014603-S035450-T000000,"Peter Mews, Bishop of Winchester",S022234,John Allambrigge,1680-02-19
SP_29/413_f.45,S043539,Sir Richard Newdigate,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-20
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1754-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-02-20
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1758-cm,E014087-S023729-T000000,"Maitland, John",E013261-S023644-T000000,"Leslie, John",1680-02-21
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1757-cm,S034180,Newsletter,S016171,Francis Pye,1680-02-21
SP_29/413_f.49a,S052569,"William Temple, at Ragley",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-21
SP_29/413_f.47,S055950,Thomas Taylor,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-21
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1759-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-02-21
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1760-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028188,Lords Treasury,1680-02-23
SP_29/413_f.51a,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-24
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1762-cm,S034180,Newsletter,S007398,Christopher Bowman,1680-02-26
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1765-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-02-27
SP_29/413_f.53a,E009630-S016026-T000000,"Gwyn, Francis",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-28
SP_29/413_f.57,S022234,John Allambrigge,E012119-S043025-T000000,Sir Leoline Jenkins,1680-02-28
SP_63/339_f.141,S035572,Phelim ONeill,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-28
SP_29/413_f.55a,S052569,"William Temple, at Ragley",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-02-28
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1775-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E013261-S023644-T000000,"Leslie, John",1680-02-28
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1778-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-02-28
SP_29/413_f.59a,S043539,Sir Richard Newdigate,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-01
SP_105/49_f.1,E019465-S043775-T000000,"Southwell, Robert (Sir)",S002901,Brandenburg-Prussia,1680-10-31
SP_29/413_f.67,S010399,Constance Magenis,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-02
SP_29/413_f.68,S001260,Anna Acton,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-02
SP_29/413_f.63,S018617,Hamilton Mawson,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-02
SP_29/413_f.61,S024872,"John, Viscount Massereene",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-02
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1790-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028188,Lords Treasury,1680-03-02
SP_29/413_f.65,S007421,Christopher Cratford,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-02
SP_89/14_f.73,S010791,Count of Miranda,S040180,Secretary of State,1680-03-04
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1799-cm,S034180,Newsletter,S007398,Christopher Bowman,1680-03-04
SP_44/62_f.1,E012119-S043025-T000000,Sir Leoline Jenkins,S022234,John Allambrigge,1680-03-04
SP_29/413_f.70,S010399,Constance Magenis,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-06
SP_44/51_f.322,S019016,Henry Coventry,S014245,Edward Dunvill,1680-03-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1809-cm,S019016,Henry Coventry,S032999,Mr. Kenyon,1680-03-06
SP_63/339_f.143,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1811-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E013261-S023644-T000000,"Leslie, John",1680-03-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1812-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S051735,"William Hamilton (Douglas), Duke of Hamilton",1680-03-06
SP_44/29_f.353,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S000451,Admiralty,1680-03-08
SP_29/413_f.71,S010399,Constance Magenis,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-09
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1821-cm,S019016,Henry Coventry,S022959,"John Egerton, Earl of Bridgewater",1680-03-09
SP_29/413_f.73a,S024872,"John, Viscount Massereene",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-09
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1824-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-03-09
SP_29/413_f.75,E009630-S016026-T000000,"Gwyn, Francis",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-13
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1828-cm,S019016,Henry Coventry,S022959,"John Egerton, Earl of Bridgewater",1680-03-13
SP_63/339_f.145,E300501-S037685-T000000,"Richard Jones, Earl of Ranelagh",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-13
SP_29/413_f.77a,S022234,John Allambrigge,E012119-S043025-T000000,Sir Leoline Jenkins,1680-03-15
SP_29/413_f.81,S010399,Constance Magenis,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-16
SP_29/413_f.79,E009630-S016026-T000000,"Gwyn, Francis",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-16
SP_29/413_f.83a,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-20
SP_63/339_f.147,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-20
SP_44/62_f.3,E012119-S043025-T000000,Sir Leoline Jenkins,S022234,John Allambrigge,1680-03-20
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1850-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-03-22
SP_29/413_f.87a,E009630-S016026-T000000,"Gwyn, Francis",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-23
SP_29/413_f.85a,S024872,"John, Viscount Massereene",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-23
SP_29/413_f.89,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-24
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1855-cm,S034180,Newsletter,S007398,Christopher Bowman,1680-03-25
SP_29/415_f.202,S042233,Sir James Butler,E904150-S051429-T000000,"William Craven, Earl of Craven",1680-03-25
SP_29/413_f.92,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-03-27
SP_29/413_f.95,S034081,Nathaniel Thompson,E012119-S043025-T000000,Sir Leoline Jenkins,1680-03-29
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1864-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-03-29
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1867-cm,S034180,Newsletter,S007398,Christopher Bowman,1680-03-30
SP_29/413_f.141,E300097-S041251-T000000,Sir Edward Harley,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-30
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1874-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S051735,"William Hamilton (Douglas), Duke of Hamilton",1680-04-02
SP_29/413_f.101,E014603-S035450-T000000,"Peter Mews, Bishop of Winchester",E012119-S043025-T000000,Sir Leoline Jenkins,1680-04-03
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1880-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E013261-S023644-T000000,"Leslie, John",1680-04-04
SP_29/413_f.103,S000182,A. R,E012119-S043025-T000000,Sir Leoline Jenkins,1680-04-05
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1884-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-04-05
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1882-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S031788,Minister of the French congregation,1680-04-05
SP_63/339_f.149,S030279,Mary Forbes,E921955-S041743-T000000,Sir George Rawdon,1680-04-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1888-cm,S034180,Newsletter,S007398,Christopher Bowman,1680-04-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1886-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S049835,Trustees of the Charterhouse,1680-04-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1891-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-04-07
SP_29/413_f.104a,S026540,Lemuel Kingdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-08
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1894-cm,E012119-S043025-T000000,Sir Leoline Jenkins,S017499,George Morton,1680-04-08
SP_63/339_f.150,E008139-S040866-T000000,Sir Arthur Forbes,E921955-S041743-T000000,Sir George Rawdon,1680-04-09
SP_63/339_f.151,S027909,Lord Shannon,E019549-S039016-T000000,"Spencer, Robert",1680-04-10
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1897-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E013261-S023644-T000000,"Leslie, John",1680-04-10
SP_63/339_f.155,S029495,Major Joseph Stroude,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-11
SP_63/339_f.153,S006044,Captain Robert Thelwall,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-11
SP_63/339_f.157,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-12
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1905-cm,E019549-S039016-T000000,"Spencer, Robert",S018972,"Henry Cavendish, Duke of Newcastle upon Tyne",1680-04-13
SP_29/413_f.106,E019822-S014614-T000000,"Strode, Edward",E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-14
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1913-cm,E019549-S039016-T000000,"Spencer, Robert",S028068,Lord-Lieutenant,1680-04-15
SP_44/62_f.5,E012119-S043025-T000000,Sir Leoline Jenkins,S047835,Thomas Dunkin,1680-04-15
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1918-cm,S019016,Henry Coventry,E011618-S047287-T000000,"Theophilus Hastings, Earl of Huntingdon",1680-04-17
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1932-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E013261-S023644-T000000,"Leslie, John",1680-04-21
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1941-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-04-21
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1945-cm,E019549-S039016-T000000,"Spencer, Robert",E001993-S018912-T000000,"Henry Bennet, Earl of Arlington",1680-04-22
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1943-cm,E019549-S039016-T000000,"Spencer, Robert",S027260,Lord Chancellor,1680-04-22
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1944-cm,E019549-S039016-T000000,"Spencer, Robert",S047635,Thomas Cheeke,1680-04-22
SP_44/51_f.336,S019016,Henry Coventry,E000520-S001769-T000000,"Arthur Annesley, Earl of Anglesey",1680-04-23
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1948-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-04-23
SP_44/56_f.29,E019549-S039016-T000000,"Spencer, Robert",S041790,Sir Gilbert Gerard,1680-04-24
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1955-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-04-26
SP_29/413_f.120,S026540,Lemuel Kingdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-27
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1959-cm,E012119-S043025-T000000,Sir Leoline Jenkins,E600235-S040567-T000000,"Sidney Godolphin, Earl of Godolphin",1680-04-27
SP_63/339_f.159,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-28
SP_44/62_f.11,E012119-S043025-T000000,Sir Leoline Jenkins,E014087-S023729-T000000,"Maitland, John",1680-04-28
SP_44/62_f.9,E012119-S043025-T000000,Sir Leoline Jenkins,S032599,Mr. Dudney,1680-04-28
SP_29/413_f.133,S015387,Fabian Philipps,E012119-S043025-T000000,Sir Leoline Jenkins,1680-04-29
SP_63/339_f.161,S017479,George McCartney,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-29
SP_29/413_f.130,S026540,Lemuel Kingdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-04-29
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1974-cm,E012119-S043025-T000000,Sir Leoline Jenkins,S043784,Sir Robert Thomas,1680-04-29
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1985-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-04-30
SP_63/339_f.162,E008139-S040866-T000000,Sir Arthur Forbes,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-05-01
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m2004-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028188,Lords Treasury,1680-05-01
SP_44/64_f.1,E012119-S043025-T000000,Sir Leoline Jenkins,S002639,Bevil Skelton,1680-05-03
SP_44/57_f.19,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S011542,Dean and Chapter of Wells Cathedral,1680-05-03
SP_63/339_f.164,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-05-05
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m2024-cm,S034180,Newsletter,S007398,Christopher Bowman,1680-05-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m2022-cm,E019549-S039016-T000000,"Spencer, Robert",E014603-S035450-T000000,"Peter Mews, Bishop of Winchester",1680-05-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m2021-cm,E019549-S039016-T000000,"Spencer, Robert",E012119-S043025-T000000,Sir Leoline Jenkins,1680-05-06
SP_44/62_f.13,E012119-S043025-T000000,Sir Leoline Jenkins,E019549-S039016-T000000,"Spencer, Robert",1680-05-07
SP_29/413_f.152,S038635,Robert Hall,E012119-S043025-T000000,Sir Leoline Jenkins,1680-05-08
SP_29/413_f.150,E019549-S039016-T000000,"Spencer, Robert",E012119-S043025-T000000,Sir Leoline Jenkins,1680-05-08
SP_63/341_f.1,E012119-S043025-T000000,Sir Leoline Jenkins,S028068,Lord-Lieutenant,1680-05-08
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m2030-cm,S043279,"Sir Philip Carteret, Deputy Governor",E012119-S043025-T000000,Sir Leoline Jenkins,1680-05-08
SP_29/413_f.154,S048795,Thomas Stratford,S010399,Constance Magenis,1680-05-09
SP_29/413_f.158,S030341,Mary Whitbie,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-05-10
