language_primary,estc_id,gatherings.original,width.original,height.original,obl.original,gatherings,width,height,obl,area,original,publication_year_from,publication_year_till,publication_year,publication_decade,publication_century,uncertain,circa,range,price,prices_found,Pound,Shilling,Pence,total_price,year,Commodity,Market,variety,currancy,volume,C.currancy,C.volume,value,notes,source,total_price_in_silver,freq,annual,is_periodical,short_title,work_id,publication_place,publication_country,false_imprint,org_260_a,org_260_a_square_brackets,org_752_a,org_752_b,org_752_d,longitude,latitude,geo_id,pagecount.multiplier,pagecount.squarebracket,pagecount.plate,pagecount.arabic,pagecount.roman,pagecount.sheet,pagecount,volnumber,volcount,parts,pagecount_from,pagecount.orig,singlevol,multivol,issue,document.items,paper,document_type
English,N1220,12mo,NA,NA,FALSE,12mo,12.5,19,0,237.5,1710.,1710,NA,1710,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,An easie and safe method for curing the King's evil,3963-brief account of specifick remedy for curing kings evil,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,1,0,83,0,0,84,NA,1,NA,original,84,TRUE,FALSE,FALSE,1,1731.77083333333,In-between
English,R201289,8vo,NA,NA,FALSE,8vo,13,19,0,247,1700.,1700,NA,1700,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Rich. Baxter's review of the state of Christian's infants,47746-rich baxters review of state of christians infants whether they should be entered in covenant with god,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,8,0,64,0,0,72,NA,1,NA,original,72,TRUE,FALSE,FALSE,1,1543.75,In-between
English,T154005,1to,NA,NA,FALSE,2fo,30,45,0,1350,1702 [i.e.1703],1702,1703,1702,1700,1700,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"The estate of the late King James, in the county of Limerick; consisting of the farms and lands following, will be expos'd to sale at Chichester House, Dublin, on Saturday the 10th day of April, 1703. By cant to the best bidder",1811-estate of king james in county of galway consisting of farms and lands following will be exposd to sale at chichester house dublin on thursday 10th day of june 1703,Dublin,Ireland,FALSE,Dublin :,FALSE,Ireland,NA,Dublin.,-6.248889,53.333056,<http://vocab.getty.edu/tgn/7001306>,1,0,0,0,0,2,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,T123569,8vo,NA,NA,FALSE,8vo,13,19,0,247,1710.,1710,NA,1710,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,The tryals of Peter Messenger,X-the tryals of peter messenger,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,48,48,NA,1,NA,original,48,TRUE,FALSE,FALSE,1,1029.16666666667,In-between
English,T55024,8vo,NA,NA,FALSE,8vo,13,19,0,247,1720.,1720,NA,1720,1720,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,An essay on the gout,2227-observations concerning nature and due method of treating gout,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,9,0,98,5,0,112,NA,1,NA,original,112,TRUE,FALSE,FALSE,1,2401.38888888889,In-between
English,T36273,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1706],1706,NA,1706,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"His Royal Highness Prince George of Denmark, &c. Lord High Admiral of England and Ireland, &c. .",87657-instructions 1706-01-25,London,England,FALSE,"[London,",TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,2,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,R478177,4to,NA,NA,FALSE,4to,22,28,0,616,1700.,1700,NA,1700,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"The sufficiency of the Scripture-revelation, as to the proof of it. Part II",5530-sufficiency of scripture-revelation as to proof of it,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,36,36,NA,1,NA,original,36,TRUE,FALSE,FALSE,1,1925,In-between
English,T37319,8vo,NA,NA,FALSE,8vo,13,19,0,247,1715.,1715,NA,1715,1710,1700,FALSE,FALSE,FALSE,Price from imprint: Price 4d,4d,0,0,4,4,1715,Pence,London,English,English Pence,unit,gm Ag,Gram,0.463991935,ECPdb,(UnKnown),1.85596774,NA,NA,FALSE,The insupportable yoke of popery,52482-insupportable yoke of popery and wickedness of bringing it again upon these kingdoms after so many deliverances from it considerd and applyd with regard to present rebellion in sermon preachd at cathedral-church of canterbury on saturday nov,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,1,0,31,0,0,32,NA,1,NA,original,32,TRUE,FALSE,FALSE,1,686.111111111111,Pamphlet
English,T18663,8vo,NA,NA,FALSE,8vo,13,19,0,247,1718.,1718,NA,1718,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Opticks,4841-opticks,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,10,4,382,0,0,396,NA,1,NA,original,396,TRUE,FALSE,FALSE,1,8490.625,Book
English,T74595,4to,NA,NA,FALSE,4to,22,28,0,616,1713.,1713,NA,1713,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Mr. Addison turn'd Tory: or, the scene inverted: wherein it is made appear that the Whigs have misunderstood that celebrated author in his applauded tragedy, call'd Cato, and that the Duke of M-'s character, ... bears a much greater resemblance to that of Cæsar and Syphax, .. By a gentleman of Oxford",136103-mr addison turnd tory or scene inverted wherein it is made appear that whigs have misunderstood that celebrated author in his applauded tragedy calld cato and that duke of m-s character bears much greater resemblance to that of caesar and syphax by gentleman of oxford,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,1,0,23,0,0,24,NA,1,NA,original,24,TRUE,FALSE,FALSE,1,1283.33333333333,Pamphlet
English,T210358,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1706?],1706,NA,1706,1700,1700,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,The case of the three French regiments of foot,X-the case of the three french regiments of foot,London,England,FALSE,"[London?,",TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,2,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,T188880,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1712],1712,NA,1712,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"An act for the sale of part of the estate late of Edward Hill, Esq; deceased",57105-bills 1712-04-07,London,England,FALSE,"[London,",TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,8,8,NA,1,NA,original,8,TRUE,FALSE,FALSE,1,937.5,Pamphlet
English,N17277,8vo,NA,NA,FALSE,8vo,13,19,0,247,[1714],1714,NA,1714,1710,1700,FALSE,FALSE,FALSE,Price from imprint: Price Stich'd 6d,6d,0,0,6,6,1714,Pence,London,English,English Pence,unit,gm Ag,Gram,0.463991935,ECPdb,(UnKnown),2.78395161,NA,NA,FALSE,Hannibal not at our gates,X-hannibal not at our gates,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,1,0,47,0,0,48,NA,1,NA,original,48,TRUE,FALSE,FALSE,1,1029.16666666667,In-between
English,T65817,12mo,NA,NA,FALSE,12mo,12.5,19,0,237.5,1701.,1701,NA,1701,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"The lady's new-year's-gift: or, advice to a daughter",765-ladys new-years-gift or advice to daughter,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,2,2,164,0,0,168,NA,1,NA,original,168,TRUE,FALSE,FALSE,1,3463.54166666667,Book
English,T48461,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1713],1713,NA,1713,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"A small parcel of very rare books, in Greek, Latin, and Italian; of the most valuable editions, viz. Aldus, H. & R. Stephens, Vascosan, Colineus and other famous printers; ... Which will be sold by auction ... on Monday the 14th of December, 1713, ... by Thomas Ballard .",81011-a small parcel of very rare books in greek latin and italian of most valuable editions viz aldus h and r stephens vascosan colineus and other famous printers which will be sold by auction on monday 14th of december 1713 by thomas ballard,London,England,FALSE,"[London,",TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,2,0,0,0,0,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,T142379,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1711],1711,NA,1711,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Observations on the bill relating to the mine-adventurers,114231-observations on bill relating to mine-adventurers,London,England,FALSE,[London :,TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,4,4,NA,1,NA,original,4,TRUE,FALSE,FALSE,1,468.75,Pamphlet
English,T81494,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1713.,1713,NA,1713,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,An hymn to the redeemer,X-an hymn to the redeemer,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,4,0,12,0,0,16,NA,1,NA,original,16,TRUE,FALSE,FALSE,1,1875,Pamphlet
English,N186,4to,NA,NA,FALSE,4to,22,28,0,616,1708.,1708,NA,1708,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,The royal convert. A tragedy,1251-royal convert,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,12,0,56,0,0,68,NA,1,NA,original,68,TRUE,FALSE,FALSE,1,3636.11111111111,In-between
English,T13299,1to,NA,NA,FALSE,2fo,30,45,0,1350,1704],1704,NA,1704,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"The case of William White, Richard Talboys, William Bell, & Richard Heydon, constables of ... Aylesbury ... In a writ of error brought in the House of Lords by Matthew Ashby upon a judgement ... in the Court of Queen's Bench .",91201-case of william white richard talboys william bell and richard heydon constables of aylesbury in writ of error brought in house of lords by matthew ashby upon judgement in court of queens bench,London,England,FALSE,"[London?,",TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,2,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,T47265,4to,NA,NA,FALSE,4to,22,28,0,616,1704.,1704,NA,1704,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,A seasonable remark upon the new book of Dr. Davenant,X-a seasonable remark upon the new book of dr. davenant,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,12,12,NA,1,NA,original,12,TRUE,FALSE,FALSE,1,641.666666666667,Pamphlet
English,T34781,8vo,NA,NA,FALSE,8vo,13,19,0,247,[1709?],1709,NA,1709,1700,1700,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Doctor Leach's last legacy,181029-doctor leachs last legacy or his pious and christian instructions left to his parishioners of st,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,8,8,NA,1,NA,original,8,TRUE,FALSE,FALSE,1,171.527777777778,Pamphlet
English,N45851,8vo,NA,NA,FALSE,8vo,13,19,0,247,1703.,1703,NA,1703,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"The excellency of reason, no argument against the wisdom of believing",24064-excellency of reason no argument against wisdom of believing or censure of remarks upon mr,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,4,0,30,0,0,34,NA,1,NA,original,34,TRUE,FALSE,FALSE,1,728.993055555556,In-between
English,T104244,4to,NA,NA,FALSE,4to,22,28,0,616,[1716],1716,NA,1716,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,A charge to the clergy of the county of Surrey,52846-a charge to clergy of county of surrey deliverd at town of guildford oct 11 and at burrough of southwark oct,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,28,28,NA,1,NA,original,28,TRUE,FALSE,FALSE,1,1497.22222222222,Pamphlet
English,T124897,8vo,NA,NA,FALSE,8vo,13,19,0,247,1704.,1704,NA,1704,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Hudibras,88-hudibras,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,1,0,165,0,0,166,NA,1,NA,original,166,TRUE,FALSE,FALSE,1,3559.20138888889,Book
English,T42123,4to,NA,NA,FALSE,4to,22,28,0,616,1703.,1703,NA,1703,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Of the imitation of Christ,45707-of imitation of christ sermon preachd before queen at bath,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,2,0,26,0,0,28,NA,1,NA,original,28,TRUE,FALSE,FALSE,1,1497.22222222222,Pamphlet
English,T195801,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1712?],1712,NA,1712,1710,1700,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"A short supplement to the Letter to a person of quality, in relation to the affirmation of the Quakers",49664-letter to person of quality in relation to affirmation of quakers,London,England,FALSE,[London :,TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,2,0,0,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,T66287,8vo,NA,NA,FALSE,8vo,13,19,0,247,1707.,1707,NA,1707,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"A letter concerning the Union, with relation to trade, from several Scots gentlemen, merchants in England, to their country-men, merchants in Scotland",20047-a letter concerning union with relation to trade from several scots gentlemen merchants in england to their country-men merchants in scotland,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,16,16,NA,1,NA,original,16,TRUE,FALSE,FALSE,1,343.055555555556,Pamphlet
English,T206533,8vo,NA,NA,FALSE,8vo,13,19,0,247,1710.,1710,NA,1710,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Plutarch's Lives,114-lives,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,24,2,350,0,0,376,NA,1,NA,original,376,TRUE,FALSE,FALSE,1,8061.80555555556,Book
English,T113226,4to,NA,NA,FALSE,4to,22,28,0,616,MDCCIII. [1703],1703,1703,1703,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,English Lucian,X-english lucian,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,4,0,22,0,0,26,NA,1,NA,original,26,TRUE,FALSE,FALSE,1,1390.27777777778,Pamphlet
English,T301137,4to,NA,NA,FALSE,4to,22,28,0,616,1705..,1705,NA,1705,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"The orphan: or, The unhappy-marriage. :A tragedy. As it is acted at His Royal Highness the Duke's Theatre. Written by Tho. Otway",116-orphan or unhappy marriage,London,England,FALSE,"London, :",FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,7,0,63,0,0,70,NA,1,NA,original,70,TRUE,FALSE,FALSE,1,3743.05555555556,In-between
English,T219223,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1701],1701,NA,1701,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Signature and warrand under His Majesties hand for a newcommission of justiciary in the highlands of Scotland,71937-signature and warrand under his majesties hand for newcommission of justiciary in highlands of scotland,Edinburgh,Scotland,FALSE,[Edinburgh :,TRUE,Great Britain,Scotland,Edinburgh.,-3.2,55.95,<http://vocab.getty.edu/tgn/7009546>,1,0,0,0,0,8,8,NA,1,NA,original,8,TRUE,FALSE,FALSE,1,937.5,Pamphlet
English,T65097,8vo,NA,NA,FALSE,8vo,13,19,0,247,1713.,1713,NA,1713,1710,1700,FALSE,FALSE,FALSE,Price from imprint: Price Stitch'd 1s 6d,1s 6d,0,1,6,18,1713,Pence,London,English,English Pence,unit,gm Ag,Gram,0.463991935,ECPdb,(UnKnown),8.35185483,NA,NA,FALSE,A philological essay,48041-reflexions sur les grands hommes qui sont morts en plaisantant,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,8,0,128,0,0,136,NA,1,NA,original,136,TRUE,FALSE,FALSE,1,2915.97222222222,Book
